Event,Key/Mouse,Timestamp
MouseMove,"Move to (1058, 661)",2.864489
KeyPress,w,2.878372
MouseMove,"Move to (1057, 662)",2.881741
MouseMove,"Move to (1054, 663)",2.888893
MouseMove,"Move to (1050, 664)",2.89645
MouseMove,"Move to (1045, 665)",2.905054
KeyPress,w,2.909624
MouseMove,"Move to (1039, 666)",2.912652
MouseMove,"Move to (1034, 667)",2.919893
MouseMove,"Move to (1027, 669)",2.928822
MouseMove,"Move to (1017, 671)",2.937467
KeyPress,w,2.944174
MouseMove,"Move to (1003, 672)",2.94521
MouseMove,"Move to (988, 674)",2.951706
MouseMove,"Move to (970, 675)",2.960886
MouseMove,"Move to (950, 675)",2.968743
MouseMove,"Move to (929, 675)",2.971924
MouseMove,"Move to (908, 675)",2.984992
KeyPress,w,2.98819
MouseMove,"Move to (892, 675)",2.993125
MouseMove,"Move to (879, 675)",2.999844
KeyPress,w,3.007369
MouseMove,"Move to (870, 676)",3.007369
MouseMove,"Move to (867, 677)",3.041627
KeyPress,w,3.041627
MouseMove,"Move to (868, 677)",3.055818
MouseMove,"Move to (876, 677)",3.06491
MouseMove,"Move to (892, 677)",3.0715
KeyPress,w,3.078411
MouseMove,"Move to (925, 677)",3.08002
MouseMove,"Move to (982, 677)",3.084572
MouseMove,"Move to (1063, 677)",3.097205
MouseMove,"Move to (1161, 677)",3.10486
MouseMove,"Move to (1266, 677)",3.111771
KeyPress,w,3.117822
MouseMove,"Move to (1374, 677)",3.119847
MouseMove,"Move to (1482, 677)",3.12523
MouseMove,"Move to (1580, 677)",3.131596
MouseMove,"Move to (1667, 677)",3.144927
KeyPress,w,3.152309
MouseMove,"Move to (1031, 553)",3.152309
MouseMove,"Move to (1082, 553)",3.159817
MouseMove,"Move to (1113, 553)",3.166658
KeyPress,w,3.173166
MouseMove,"Move to (1128, 553)",3.173166
KeyPress,w,3.210027
KeyPress,w,3.243751
KeyPress,w,3.280242
MouseMove,"Move to (1135, 553)",3.312739
KeyPress,w,3.312739
MouseMove,"Move to (1138, 553)",3.32053
MouseMove,"Move to (1140, 553)",3.329381
MouseMove,"Move to (1143, 554)",3.335139
KeyPress,w,3.34183
MouseMove,"Move to (1144, 554)",3.34183
MouseMove,"Move to (1147, 555)",3.353595
MouseMove,"Move to (1149, 555)",3.361135
KeyPress,w,3.376611
KeyPress,w,3.409993
KeyPress,w,3.439129
KeyPress,w,3.473542
MouseMove,"Move to (1149, 556)",3.480202
MouseMove,"Move to (1149, 557)",3.486406
MouseMove,"Move to (1148, 557)",3.501155
KeyPress,w,3.508847
MouseMove,"Move to (1145, 557)",3.513522
MouseMove,"Move to (1143, 558)",3.521347
MouseMove,"Move to (1138, 559)",3.52914
MouseMove,"Move to (1131, 559)",3.537627
KeyPress,w,3.541673
MouseMove,"Move to (1121, 559)",3.544583
MouseMove,"Move to (1106, 559)",3.549762
MouseMove,"Move to (1091, 561)",3.561655
MouseMove,"Move to (1073, 561)",3.569815
KeyPress,w,3.569815
MouseMove,"Move to (1054, 561)",3.576005
MouseMove,"Move to (1036, 561)",3.583646
MouseMove,"Move to (1020, 561)",3.590158
MouseMove,"Move to (1003, 561)",3.600133
KeyPress,w,3.603116
MouseMove,"Move to (992, 561)",3.604056
MouseMove,"Move to (983, 561)",3.616988
MouseMove,"Move to (978, 561)",3.625154
KeyPress,w,3.640065
KeyPress,w,3.674252
KeyPress,w,3.704124
KeyPress,w,3.735864
KeyPress,w,3.770338
KeyPress,w,3.80552
KeyPress,w,3.848049
KeyPress,w,3.870007
MouseMove,"Move to (975, 561)",3.870007
KeyPress,w,3.902804
MouseMove,"Move to (974, 561)",3.910209
KeyPress,w,3.937486
MouseMove,"Move to (973, 561)",3.966173
KeyPress,w,3.973756
MouseMove,"Move to (972, 561)",3.993709
KeyPress,w,4.000291
MouseMove,"Move to (971, 561)",4.00218
MouseMove,"Move to (971, 561)",4.009006
MouseMove,"Move to (969, 561)",4.017139
MouseMove,"Move to (967, 560)",4.023903
MouseMove,"Move to (966, 560)",4.032718
KeyPress,w,4.034039
MouseMove,"Move to (963, 559)",4.042103
MouseMove,"Move to (960, 559)",4.04944
